comuna,link,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,valor_uf,direccion,quien_vende,corredor
Cerrillos,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/ing-juan-ceron-reyes/3112489,3,2,0,120.0,82.0,4.027,"Cerrillos, Ing juan cerón reyes",María Fernanda,Invierte Propiedades
Cerrillos,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/padre-tomas-roggia-2641/2554992,3,2,3,130.0,80.0,3.298,"Cerrillos, Padre tomas Roggia 2641",MLC Propiedades,MLC Propiedades
Cerrillos,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/casa-2-pisos-en-condominio-altos-de-don-orione/3441484,3,2,0,100.0,85.0,2.951,"Cerrillos, Casa 2 Pisos en Condominio Altos de Don Orione",Corretajes Prosal Ltda.,Corretajes Prosal
Cerrillos,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/caupolican-7195/2991725,9,8,3,268.0,218.0,7.33,"Cerrillos, Caupolicán 7195",Juan Carlos Palma,Vitahome Propiedades
Cerrillos,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/catorce-de-octubre/3710696,2,1,3,1050.0,85.0,5.0,"Cerrillos, Catorce de Octubre",Felipe andres santibañez torres,Vende Dueño/a
Cerro Navia,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/presidente-prieto/2009884,4,3,3,560.0,120.0,4.861,"Cerro Navia, Presidente Prieto",lapropiedad.cl,lapropiedad.cl
Cerro Navia,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/doctor-avendano/3639993,2,1,1,162.0,65.0,1.805,"Cerro Navia, Doctor Avendaño",Edith Angeline Faúndez Muñoz,Vende Dueño/a
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/caletera-san-martincarretera-san-martin/1151912,3,3,0,5000.0,230.0,12.9,"Colina, Caletera San Martin/Carretera San Martin",Toro Guzmán Propiedades,Toro Guzmán Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/general-san-martin/3505258,5,5,0,5000.0,310.0,12.221,"Colina, General San Martin",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chicureoalba-2/3417275,4,3,0,5000.0,260.0,16.5,"Colina, Av. Chicureo/Alba 2",Toro Guzmán Propiedades,Toro Guzmán Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chamisero-portezuelo-iii-calle-el-tranque-oriente-colina/3309727,5,5,0,140.0,460.0,9.808,"Colina, Av Chamisero Portezuelo III calle el tranque Oriente colina",María Fernanda,Invierte Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-brisas-de-chicureo/3676096,5,5,0,5000.0,640.0,55.0,"Colina, Las Brisas de Chicureo",Cata Brochet Propiedades,Cata Brochet Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/haya-austral-772/3611470,3,3,2,120.0,90.0,3.368,"Colina, Haya Austral 772",Arlette Andrea Riquelme Gonzalez,Vende Dueño/a
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3472948,5,7,5,5000.0,468.0,26.0,"Colina, Altos de la Reserva",Natalie Fernandez Fekete,Vende Dueño/a
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/avda-chicureocaletera-general-san-martin/1406465,3,2,0,8509.0,190.0,27.0,"Colina, Avda Chicureo/Caletera General San Martin",Toro Guzmán Propiedades,Toro Guzmán Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/cerro-santa-isabel/3339617,8,5,0,7200.0,365.0,16.5,"Colina, Cerro Santa Isabel",Cata Brochet Propiedades,Cata Brochet Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-guay-guayav-chicureo/1460501,5,4,0,5160.0,360.0,16.8,"Colina, Camino Guay Guay/Av. Chicureo",Toro Guzmán Propiedades,Toro Guzmán Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-santa-elena/3506079,4,3,0,5000.0,235.0,9.21,"Colina, Camino santa Elena",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-algarroboavenida-chicureo/1550179,5,4,0,5000.0,230.0,14.9,"Colina, El Algarrobo/Avenida Chicureo",Toro Guzmán Propiedades,Toro Guzmán Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-campinas/3508436,5,4,0,5016.0,218.0,12.99,"Colina, Las campiñas",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3504824,6,7,0,5000.0,265.0,21.0,"Colina, Chicureo",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-alselmoguay-guay/2716842,4,3,0,5800.0,320.0,19.0,"Colina, Camino San Alselmo/Guay Guay",Mauricio Pino Propiedades,Mauricio Pino Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-el-cobijo/2394826,4,2,0,5400.0,191.0,6.45,"Colina, Condominio El Cobijo",Walter Kraemer,Home Solutions
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-el-valle-el-algarrobo/3522067,6,5,0,5010.0,369.0,18.5,"Colina, Av. El Valle / El Algarrobo",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/lo-arcaya/3377763,4,4,4,7200.0,230.0,16.5,"Colina, Lo arcaya",Genoveva del Carmen Espinoza Saez,Virtual Realty Property SpA.
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-maria-de-chamisero-isanta-maria-de-chamisero/3057580,6,6,0,20.0,560.0,34.9,"Colina, Santa María De Chamisero I/Santa María de Chamisero",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/peaje-lo-pinto-colina/3506259,4,3,0,5000.0,290.0,8.838,"Colina, Peaje Lo Pinto Colina",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-club-de-golf-las-brisas-de-chicureo/3556456,6,4,0,5013.0,362.0,18.026,"Colina, Condominio Club de Golf, Las Brisas de Chicureo",Cata Brochet Propiedades,Cata Brochet Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/hacienda-chacabuco-km-20/3160535,5,4,0,8000.0,500.0,19.5,"Colina, Hacienda Chacabuco km 20",Cata Brochet Propiedades,Cata Brochet Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3473628,8,8,8,5800.0,700.0,30.0,"Colina, Altos de la Reserva",Natalie Fernandez Fekete,Vende Dueño/a
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-santa-luisa-de-los-ingleses/3416722,8,4,0,5145.0,300.0,7.986,"Colina, Chicureo, Parcela de Agrado en Condominio Santa Luisa de Los Ingleses.",Corretajes Prosal Ltda.,Corretajes Prosal
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/los-ingleseschicureo/1703533,4,4,0,6000.0,320.0,19.5,"Colina, Los Ingleses/Chicureo",Toro Guzmán Propiedades,Toro Guzmán Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/patriota-javiera-carrera/3578693,2,1,3,115.0,46.0,1.493,"Colina, Patriota Javiera Carrera",Rosemarie Alvarez Oñate,Vende Dueño/a
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-excelente-parcela-de-agrado-en-casas-del-alba/3416703,6,0,0,5787.0,310.0,11.11,"Colina, Chicureo, Excelente Parcela de Agrado en Casas del Alba",Corretajes Prosal Ltda.,Corretajes Prosal
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-nieves/3112163,3,1,1,166.0,82.73,1.996,"Colina, Las Nieves.",Colina Propiedades,Colina Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3071091,4,3,0,5800.0,320.0,19.0,"Colina, Chicureo",Cata Brochet Propiedades,Cata Brochet Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-monasteriocamino-monasterio/3037970,4,2,0,5000.0,200.0,7.125,"Colina, Camino Monasterio/Camino Monasterio",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
